State,Male,Female
Andhra Pradesh,22.6,3.8
Andaman and Nicobar Islands,58.7,31.3
Assam,51.8,22.1
Bihar,48.8,5
"Dadra and Nagar Haveli, Daman and Diu",38.6,2.9
Goa,18.2,2.6
Gujarat,41.1,8.7
Himachal Pradesh,32.3,1.7
Jammu and Kashmir,38.3,3.6
Karnataka,27.1,8.5
Kerala,16.9,2.2
Ladakh,35.7,3.2
Lakshadweep,28.5,17.5
Maharashtra,33.8,10.9
Manipur,58.1,43.1
Meghalaya,57.7,28.2
Mizoram,72.9,61.6
Nagaland,48.4,13.7
Sikkim,41.3,11.7
Telangana,22.3,5.6
Tripura,56.9,50.4
West Bengal,48.1,10.8
